品種名,母,父,不明親,登録年,登録者,メモ,出典
さぬき姫,三木2号,さがほのか,,2009,香川県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=17388&LANGUAGE=Japanese
しずたから,103Hk_11,宝交早生,,1982,静岡県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=292&LANGUAGE=Japanese
しずちから,しずたから,宝交早生,,1989,静岡県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1854&LANGUAGE=Japanese
しずのか,103Hk_11,宝交早生,,1982,静岡県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=291&LANGUAGE=Japanese
しゆうこう,しずたから,はるよい,,1985,静岡県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=717&LANGUAGE=Japanese
すずあかね,エッチエス_138,HKW_02,,2010,ホクサン株式会社 (北海道),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=19205&LANGUAGE=Japanese
そよかの,豊雪姫,さちのか,,2024,"国立研究開発法人農業・食品産業技術総合研究機構, 岩手県, 秋田県",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=30605&LANGUAGE=Japanese
つぶろまん,Donner(ダナー),千代田,,1995,富山県,「固定品種であり」との表記がある。,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=4716&LANGUAGE=Japanese
てるのか,宝交早生,Donner(ダナー),,,,"別名: 久留米39号, 農林13号",
としひめ,宝交早生選抜系統,章姫,,2000,松永章三(福島県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12059&LANGUAGE=Japanese
とちおとめ,久留米49号,栃の峰,,1996,栃木県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=5248&LANGUAGE=Japanese
とちひとみ,セリーヌ実生系統,さちのか,,2007,栃木県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=15007&LANGUAGE=Japanese
とちひめ,栃の峰,久留米49号,,2001,栃木県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=9512&LANGUAGE=Japanese
とっておき,E0836_12,F0851_24,,2018,鳥取県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=27049&LANGUAGE=Japanese
とねほっぺ,系56,女峰,,1999,群馬県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=7502&LANGUAGE=Japanese
とよのか,ひみこ,はるのか,,1999,野菜・茶業試験場,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=615&LANGUAGE=Japanese
とよのか×アイベリー,とよのか,アイベリー,,,,,
とよのか×アイベリー,とよのか,アイベリー,,,,,
とよのか実生系統,とよのか,とよのか,,,,,
なつあかり,サマーベリー,北の輝,,2007,国立研究開発法人農業・食品産業技術総合研究機構?,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=15540&LANGUAGE=Japanese
なつおとめ,tochigi24go,00_25_1,,2011,栃木県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=20766&LANGUAGE=Japanese
なつじろう,不明,不明,,,,情報を募集しています。,
ならあかり,23_1_33,24_5_C,,2025,奈良県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=31333&LANGUAGE=Japanese
にこにこベリー,もういっこ,とちおとめ,,2024,宮城県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=30272&LANGUAGE=Japanese
はつくに,うずしお,(久留米促成3号×宝交早生)×(Donner×宝交早生),,1982,奈良県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=290&LANGUAGE=Japanese
はるのか,促成2号,Donner(ダナー),,1967,農林省園芸試験場,別名: 農林11号,https://agriknowledge.affrc.go.jp/RN/4010001316
はるのか×ダナー,はるのか,Donner(ダナー),,,,,
はるのか×女峰,はるのか,女峰,,,,,
はるよい,宝交早生,はるのか,,,,,
ひたち1号,レッドパール,章姫,,,,,
ひたち姫,とちおとめ,章姫,,2009,茨城県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=17501&LANGUAGE=Japanese
ひのみね,てるのか,はるのか,,1989,独立行政法人農業・生物系特定産業技術研究機構,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1855&LANGUAGE=Japanese
ひみこ,久留米34号,宝交早生,,,,農林省育成品種として登録されている。,
ふくあや香,福島2号,福島1号,,2006,福島県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=13641&LANGUAGE=Japanese
ふくはる香,章姫,さちのか,,2006,福島県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=13640&LANGUAGE=Japanese
